Sheet Name,Variable Name,Data Type,Non-Null Count,Unique Values
Your ALS Experience 1,"Since you developed ALS, have you had any of the following? (mark all that apply) - Pneumonia that required treatment with prescription medication",object,750,4
Your ALS Experience 1,"Since you developed ALS, have you had any of the following? (mark all that apply) - Falls that caused injury significant enough that you were seen by a physician",object,750,3
Your ALS Experience 1,"Since you developed ALS, have you had any of the following? (mark all that apply) - A blood clot in an arm, leg, or in the lung that required treatment with blood thinner medication",object,750,4
Your ALS Experience 1,"Before you noticed weakness that turned out to be ALS, did you experience Cramps or muscle spasms? -  Experienced",object,750,4
Your ALS Experience 1,"Before you noticed weakness that turned out to be ALS, did you experience Cramps or muscle spasms? -  Month",object,443,12
Your ALS Experience 1,"Before you noticed weakness that turned out to be ALS, did you experience Cramps or muscle spasms? -  Year",object,465,44
Your ALS Experience 1,"Before you noticed weakness that turned out to be ALS, did you experience Scattered muscle twitching? -  Experienced",object,738,4
Your ALS Experience 1,"Before you noticed weakness that turned out to be ALS, did you experience Scattered muscle twitching? -  Month",object,403,12
Your ALS Experience 1,"Before you noticed weakness that turned out to be ALS, did you experience Scattered muscle twitching? -  Year",object,424,34
Your ALS Experience 1,"Before you noticed weakness that turned out to be ALS, did you experience Difficulty swallowing? -  Experienced",object,744,4
Your ALS Experience 1,"Before you noticed weakness that turned out to be ALS, did you experience Difficulty swallowing? -  Month",object,120,12
Your ALS Experience 1,"Before you noticed weakness that turned out to be ALS, did you experience Difficulty swallowing? -  Year",object,125,18
Your ALS Experience 1,"Before you noticed weakness that turned out to be ALS, did you experience Problems with speech? -  Experienced",object,745,4
Your ALS Experience 1,"Before you noticed weakness that turned out to be ALS, did you experience Problems with speech? -  Month",object,191,12
Your ALS Experience 1,"Before you noticed weakness that turned out to be ALS, did you experience Problems with speech? -  Year",object,200,25
Your ALS Experience 1,"Before you noticed weakness that turned out to be ALS, did you experience Difficulty controlling bowels or bladder? -  Experienced",object,738,4
Your ALS Experience 1,"Before you noticed weakness that turned out to be ALS, did you experience Difficulty controlling bowels or bladder? -  Month",object,51,11
Your ALS Experience 1,"Before you noticed weakness that turned out to be ALS, did you experience Difficulty controlling bowels or bladder? -  Year",float64,54,19
Your ALS Experience 2,Subject,int64,663,663
Your ALS Experience 2,Submitted,object,663,663
Your ALS Experience 2,Has your ALS Diagnosis changed in the last 3 months? If so please specify your current diagnosis.,object,663,5
Your ALS Experience 2,How old were you when you were told by a neurologist that you had ALS?,float64,57,29
Your ALS Experience 2,What is your current weight?,int64,663,166
Your ALS Experience 2,"In the last 3 months, have you had Pneumonia that required treatment with prescription medication?",object,663,3
Your ALS Experience 2,"In the last 3 months, have you had Falls that caused injury significant enough that you were seen by a physician?",object,663,2
Your ALS Experience 2,"In the last 3 months, have you had A blood clot in an arm, leg, or in the lung that required treatment with blood thinner medication?",object,663,3
Your ALS Experience 2,"In the past 3 months, have you experienced Cramps or muscle spasms?  - Experienced",object,659,4
Your ALS Experience 2,"In the past 3 months, have you experienced Cramps or muscle spasms?  - Head/Neck",object,165,1
Your ALS Experience 2,"In the past 3 months, have you experienced Cramps or muscle spasms?  - Left Arm",object,238,1
Your ALS Experience 2,"In the past 3 months, have you experienced Cramps or muscle spasms?  - Right Arm",object,228,1
Your ALS Experience 2,"In the past 3 months, have you experienced Cramps or muscle spasms?  - Trunk",object,218,1
Your ALS Experience 2,"In the past 3 months, have you experienced Cramps or muscle spasms?  - Left Leg",object,376,1
Your ALS Experience 2,"In the past 3 months, have you experienced Cramps or muscle spasms?  - Right Leg",object,361,1
Your ALS Experience 2,"In the past 3 months, have you experienced Scattered Muscle Twitching?  - Experienced",object,647,4
Your ALS Experience 2,"In the past 3 months, have you experienced Scattered Muscle Twitching?  - Head/Neck",object,165,1
Your ALS Experience 2,"In the past 3 months, have you experienced Scattered Muscle Twitching?  - Left Arm",object,412,1
Your ALS Experience 2,"In the past 3 months, have you experienced Scattered Muscle Twitching?  - Right Arm",object,400,1
Your ALS Experience 2,"In the past 3 months, have you experienced Scattered Muscle Twitching?  - Trunk",object,267,1
Your ALS Experience 2,"In the past 3 months, have you experienced Scattered Muscle Twitching?  - Left Leg",object,413,1
Your ALS Experience 2,"In the past 3 months, have you experienced Scattered Muscle Twitching?  - Right Leg",object,401,1
Your ALS Experience 2,"In the past 3 months, have you experienced Difficulty swallowing?",object,656,4
Your ALS Experience 2,"In the past 3 months, have you experienced Problems with speech?",object,656,4
Your ALS Experience 2,"In the past 3 months, have you experienced Difficulty controlling bowels or bladder?",object,654,4
Your ALS Experience 3,Subject,int64,572,572
Your ALS Experience 3,Submitted,object,572,572
Your ALS Experience 3,Has your ALS Diagnosis changed in the last 3 months? If so please specify your current diagnosis.,object,572,5
Your ALS Experience 3,How old were you when you were told by a neurologist that you had ALS?,float64,52,26
Your ALS Experience 3,What is your current weight?,int64,572,155
Your ALS Experience 3,"In the last 3 months, have you had Pneumonia that required treatment with prescription medication?",object,572,3
Your ALS Experience 3,"In the last 3 months, have you had Falls that caused injury significant enough that you were seen by a physician?",object,572,3
Your ALS Experience 3,"In the last 3 months, have you had A blood clot in an arm, leg, or in the lung that required treatment with blood thinner medication?",object,572,3
Your ALS Experience 3,"In the past 3 months, have you experienced Cramps or muscle spasms?  - Experienced",object,571,4
Your ALS Experience 3,"In the past 3 months, have you experienced Cramps or muscle spasms?  - Head/Neck",object,163,1
Your ALS Experience 3,"In the past 3 months, have you experienced Cramps or muscle spasms?  - Left Arm",object,226,1
Your ALS Experience 3,"In the past 3 months, have you experienced Cramps or muscle spasms?  - Right Arm",object,220,1
Your ALS Experience 3,"In the past 3 months, have you experienced Cramps or muscle spasms?  - Trunk",object,194,1
Your ALS Experience 3,"In the past 3 months, have you experienced Cramps or muscle spasms?  - Left Leg",object,330,1
Your ALS Experience 3,"In the past 3 months, have you experienced Cramps or muscle spasms?  - Right Leg",object,322,1
Your ALS Experience 3,"In the past 3 months, have you experienced Scattered Muscle Twitching?  - Experienced",object,562,4
Your ALS Experience 3,"In the past 3 months, have you experienced Scattered Muscle Twitching?  - Head/Neck",object,156,1
Your ALS Experience 3,"In the past 3 months, have you experienced Scattered Muscle Twitching?  - Left Arm",object,364,1
Your ALS Experience 3,"In the past 3 months, have you experienced Scattered Muscle Twitching?  - Right Arm",object,342,1
Your ALS Experience 3,"In the past 3 months, have you experienced Scattered Muscle Twitching?  - Trunk",object,251,1
Your ALS Experience 3,"In the past 3 months, have you experienced Scattered Muscle Twitching?  - Left Leg",object,355,1
Your ALS Experience 3,"In the past 3 months, have you experienced Scattered Muscle Twitching?  - Right Leg",object,345,1
Your ALS Experience 3,"In the past 3 months, have you experienced Difficulty swallowing?",object,568,4
Your ALS Experience 3,"In the past 3 months, have you experienced Problems with speech?",object,567,4
Your ALS Experience 3,"In the past 3 months, have you experienced Difficulty controlling bowels or bladder?",object,570,4
Your ALS Experience 4,Subject,int64,478,478
Your ALS Experience 4,Submitted,object,478,478
Your ALS Experience 4,Has your ALS Diagnosis changed in the last 3 months? If so please specify your current diagnosis.,object,478,5
Your ALS Experience 4,How old were you when you were told by a neurologist that you had ALS?,float64,41,22
Your ALS Experience 4,What is your current weight?,int64,478,151
Your ALS Experience 4,"In the last 3 months, have you had Pneumonia that required treatment with prescription medication?",object,478,3
Your ALS Experience 4,"In the last 3 months, have you had Falls that caused injury significant enough that you were seen by a physician?",object,478,3
Your ALS Experience 4,"In the last 3 months, have you had A blood clot in an arm, leg, or in the lung that required treatment with blood thinner medication?",object,478,3
Your ALS Experience 4,"In the past 3 months, have you experienced Cramps or muscle spasms?  - Experienced",object,473,3
Your ALS Experience 4,"In the past 3 months, have you experienced Cramps or muscle spasms?  - Head/Neck",object,150,1
Your ALS Experience 4,"In the past 3 months, have you experienced Cramps or muscle spasms?  - Left Arm",object,191,1
Your ALS Experience 4,"In the past 3 months, have you experienced Cramps or muscle spasms?  - Right Arm",object,189,1
Your ALS Experience 4,"In the past 3 months, have you experienced Cramps or muscle spasms?  - Trunk",object,178,1
Your ALS Experience 4,"In the past 3 months, have you experienced Cramps or muscle spasms?  - Left Leg",object,278,1
Your ALS Experience 4,"In the past 3 months, have you experienced Cramps or muscle spasms?  - Right Leg",object,279,1
Your ALS Experience 4,"In the past 3 months, have you experienced Scattered Muscle Twitching?  - Experienced",object,464,3
Your ALS Experience 4,"In the past 3 months, have you experienced Scattered Muscle Twitching?  - Head/Neck",object,139,1
Your ALS Experience 4,"In the past 3 months, have you experienced Scattered Muscle Twitching?  - Left Arm",object,310,1
Your ALS Experience 4,"In the past 3 months, have you experienced Scattered Muscle Twitching?  - Right Arm",object,295,1
Your ALS Experience 4,"In the past 3 months, have you experienced Scattered Muscle Twitching?  - Trunk",object,228,1
Your ALS Experience 4,"In the past 3 months, have you experienced Scattered Muscle Twitching?  - Left Leg",object,296,1
Your ALS Experience 4,"In the past 3 months, have you experienced Scattered Muscle Twitching?  - Right Leg",object,297,1
Your ALS Experience 4,"In the past 3 months, have you experienced Difficulty swallowing?",object,476,4
Your ALS Experience 4,"In the past 3 months, have you experienced Problems with speech?",object,476,4
Your ALS Experience 4,"In the past 3 months, have you experienced Difficulty controlling bowels or bladder?",object,475,4
